127.0.0.1 - - [22/Jul/2022:11:02:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:03:44 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/signup.jsp HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:03:44 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:03:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:09:57 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/signup.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:09:57 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:10:05 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/signup.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:10:15 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/signup.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:36:59 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/signup.jsp HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:36:59 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:37:38 +0530] "POST /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/google.com HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [22/Jul/2022:11:37:45 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/signup.jsp HTTP/1.1" 200 1553
