127.0.0.1 - - [02/Aug/2022:12:51:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Aug/2022:12:51:36 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/login.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [02/Aug/2022:12:51:47 +0530] "POST /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:12:51:47 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/home.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [02/Aug/2022:12:51:53 +0530] "POST /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/searchHome.jsp HTTP/1.1" 200 2667
0:0:0:0:0:0:0:1 - - [02/Aug/2022:12:51:55 +0530] "POST /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/searchHome.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [02/Aug/2022:12:51:56 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/addToCartAction.jsp=?id=1 HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:44:56 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/addToCartAction.jsp HTTP/1.1" 500 2558
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:45:57 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/login.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:46:04 +0530] "POST /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:46:04 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/home.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:46:46 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/addToCartAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:46:46 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/home.jsp?msg=added HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:49:15 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:49:15 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/login.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:49:25 +0530] "POST /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:49:25 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/home.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:49:27 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/addToCartAction.jsp=?id=1 HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Aug/2022:13:49:45 +0530] "GET /Online_Shoping_Project/Online%20Shopping%20Project%20Html%20&%20CSS/addToCartAction.jsp=?id=2 HTTP/1.1" 404 851
